country,period_5yr,year,education,fdi,gdp_growth,gdp_pc,log_gdp_pc,gini,industry,inflation,trade,unemployment,urban
Pakistan,1995,1997.0,,1.0906880134068668,3.4067906962869126,1033.5699652927901,6.9407460622350285,30.9,21.8062297238642,8.892704265426168,35.5293669196725,0.6134000000000001,32.3616374801613
Pakistan,2000,2002.0,20.800974845886202,0.5726024652621213,4.7477642618367835,1080.7446506529982,6.984865416227484,29.799999999999997,17.646349076016623,4.23280601579534,23.524936129917478,0.61,33.38006027862992
Pakistan,2005,2007.0,27.429870223999018,2.2257199696642695,4.673203618207668,1247.53138112099,7.1287231468126135,30.5,20.32197989961492,11.703396467666261,32.27838859070014,0.5042,34.2709114266239
Pakistan,2010,2012.0,30.771123625120502,0.6314162482943132,3.1385423016060523,1289.40461915115,7.161617706284249,29.333333333333332,21.17337870884266,9.883771056627875,31.206142725593423,1.9794,35.22687990005322
Pakistan,2015,2017.0,36.35173156111484,0.6597627269648692,4.774749165620816,1492.6866894489099,7.307169936876212,30.450000000000003,18.80100118077066,5.207181768465167,26.67868662679258,3.5936,36.470724042504045
Pakistan,2020,2022.0,42.81182570650723,0.6031370797110103,2.530390412088395,1601.642629469782,7.378445091204723,33.5,19.77258340516222,16.5022103698929,28.56484310450428,5.6704,38.36160516913568
Pakistan,2025,2025.0,,,,,,,,,,5.42,
Sri Lanka,1995,1997.0,87.1477432250977,1.2983819760650586,4.940883136281478,1779.453022572708,7.483187702057985,35.4,27.045981546318558,9.448064936117548,79.57860671755338,10.453999999999999,15.2496297125743
Sri Lanka,2000,2002.0,,1.1318208115925021,3.9609262133272063,2001.155517117948,7.600499020425917,40.2,27.83839132036588,8.755265415956652,80.1378734503968,8.2,14.688619255417299
Sri Lanka,2005,2007.0,,1.4970059449221984,6.0391732523379416,2552.88796386929,7.842228003503804,37.900000000000006,29.95856738068744,12.706287989274589,65.19796964910776,6.242,15.90473588235272
Sri Lanka,2010,2012.0,93.9539423094078,1.1711010310331968,7.149471397331406,3473.8069192147295,8.148284818540096,38.7,29.82795560583428,6.112956738394218,,4.225,18.06924205263162
Sri Lanka,2015,2017.0,94.57700357138353,1.1634001269914127,3.5619724007442954,4331.456512905948,8.372894157271546,38.5,30.07884872912262,4.218965058901558,47.95296765443216,4.359,19.14810696740248
Sri Lanka,2020,2022.0,88.65973024704037,0.7993688625335176,-1.017472087141716,4153.953912680774,8.331245590963496,,27.8614312593176,15.800328417329098,42.18686087467472,4.728,19.98436904409892
Sri Lanka,2025,2025.0,,,,,,,,,,4.005,
